@relation 'Fixed_with_TACC-weka.filters.unsupervised.attribute.Remove-R6,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R4'

@attribute ﻿species {Hoki,Arrow_Squid,Jack_Mackerel,Southern_Blue_Whiting,Barracouta,Oreos,Ling,Orange_Roughy,Hake,Spiny_Dogfish}
@attribute year numeric
@attribute variable {TACC,Catch}
@attribute data_value numeric

@data
Barracouta,2016,Catch,21511
Southern_Blue_Whiting,2018,Catch,21045.9
Arrow_Squid,2017,Catch,18462.1
Arrow_Squid,2015,Catch,16310.1
Arrow_Squid,2014,Catch,15053.2
Oreos,1996,TACC,26159.9
Oreos,1997,TACC,25653.9
Oreos,1998,TACC,25653.9
Oreos,1999,TACC,24643
Oreos,2000,TACC,23943
Ling,2014,TACC,23192
Ling,2015,TACC,23192
Ling,2016,TACC,23192
Ling,2017,TACC,23192
Ling,2018,TACC,23192
Oreos,2001,TACC,22443
Ling,2010,TACC,22226
Ling,2011,TACC,22226
Ling,2012,TACC,22226
Ling,2013,TACC,22226
Ling,1998,TACC,22113.1
Ling,1999,TACC,22113.1
Ling,2000,TACC,22113.1
Ling,1996,TACC,22111.1
Ling,1997,TACC,22111.1
Ling,2005,TACC,21977.1
Ling,2006,TACC,21977.1
Ling,2007,TACC,21977.1
Ling,2008,TACC,21977.1
Ling,2009,TACC,21977.1
Orange_Roughy,1998,TACC,21330.2
Orange_Roughy,1996,TACC,21330
Orange_Roughy,1997,TACC,21330
Oreos,2004,TACC,21143
Oreos,2005,TACC,21143
Oreos,2006,TACC,21143
Oreos,2007,TACC,21143
Orange_Roughy,1999,TACC,20354.8
Orange_Roughy,2000,TACC,20354.8
Oreos,2002,TACC,20143
Ling,2003,TACC,19978.5
Ling,2004,TACC,19978.5
Ling,2001,TACC,19843.2
Ling,2002,TACC,19843.2
Ling,2002,Catch,19563
Oreos,2003,TACC,19343
Ling,2003,Catch,18907.7
Oreos,2010,TACC,18860
Oreos,2011,TACC,18860
Oreos,2012,TACC,18860
Oreos,2013,TACC,18860
Oreos,2014,TACC,18860
Oreos,2015,TACC,18860
Ling,2004,Catch,18757.7
Oreos,2002,Catch,18720.9
Ling,2018,Catch,18694.2
Oreos,2008,TACC,18610
Oreos,2009,TACC,18610
Oreos,2003,Catch,17621.3
Oreos,2006,Catch,17475
Oreos,2005,Catch,17220.2
Ling,2005,Catch,17186.1
Oreos,2007,Catch,17111.8
Oreos,2004,Catch,17104.5
Oreos,2008,Catch,16978.6
Oreos,2010,Catch,16792
Ling,2017,Catch,16600.6
Ling,2008,Catch,16262.7
Ling,2007,Catch,16099.3
Orange_Roughy,2002,TACC,15921
Orange_Roughy,2005,TACC,15921
Orange_Roughy,2006,TACC,15921
Oreos,2009,Catch,15877.6
Orange_Roughy,2001,TACC,15641
Orange_Roughy,2006,Catch,15502.2
Orange_Roughy,2005,Catch,15368
Ling,2014,Catch,15224.6
Orange_Roughy,2003,TACC,15221
Orange_Roughy,2004,TACC,15221
Ling,2015,Catch,15001.9
Oreos,2016,TACC,14860
Oreos,2017,TACC,14860
Oreos,2018,TACC,14860
Orange_Roughy,2007,TACC,14721
Orange_Roughy,2003,Catch,14670.4
Ling,2016,Catch,14665.6
Oreos,2011,Catch,14421.7
Orange_Roughy,2002,Catch,14379.5
Ling,2013,Catch,14317.2
Ling,2006,Catch,14177.8
Orange_Roughy,2007,Catch,14167.1
Hake,2002,TACC,14066.5
Hake,2003,TACC,14066.5
Hake,2004,TACC,14066.5
Hake,1996,TACC,13997
Hake,1997,TACC,13997
Hake,1998,TACC,13997
Hake,1999,TACC,13997
Hake,2000,TACC,13997
Hake,2001,TACC,13997
Hake,2004,Catch,13686
Orange_Roughy,2008,TACC,13612
Orange_Roughy,2004,Catch,13414.1
Hake,2005,Catch,13376.7
Hake,2006,TACC,13211.1
Hake,2007,TACC,13211.1
Hake,2008,TACC,13211.1
Hake,2009,TACC,13211.1
Hake,2010,TACC,13211.1
