@relation CoreDataSet-Train-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute Shape__Length numeric
@attribute X numeric
@attribute Y numeric
@attribute Class {0,1,2}

@data
30498.60967,176.725907,-38.714963,2
4142.722385,175.822099,-40.149567,1
16454.82476,173.827518,-42.236041,1
2355.609303,174.415247,-35.678533,1
2174.668886,173.773222,-41.049752,0
5812.7438,174.861671,-36.806389,1
246.126518,173.942699,-35.214249,0
751.362302,170.563195,-43.15245,0
798.280113,176.519544,-38.159507,0
2028.361376,174.863902,-41.257577,0
4720.027796,175.857056,-37.631957,1
3632.311888,172.6957,-34.429123,1
12092.28809,175.829158,-37.601234,1
2925.594244,175.366819,-36.167392,0
3348.688945,173.196224,-35.032715,0
1841.243254,170.163227,-43.698027,0
45555.45858,172.139601,-42.483895,2
285.833325,173.799782,-35.19879,0
1362.962096,175.623521,-36.720969,0
2553.998415,174.437713,-35.787241,0
45410.00684,170.478965,-43.348805,2
17522.26612,167.513648,-45.02085,2
7607.803483,175.067986,-37.938631,1
405.583912,173.972534,-41.189484,0
15933.36448,169.213288,-44.122941,1
3455.563327,167.704828,-45.438016,0
2102.553963,170.962,-44.626514,0
11591.71309,174.229404,-35.216975,1
48400.79337,171.058464,-43.53639,1
532.198482,173.368882,-35.535505,0
2596.396968,175.236517,-41.44828,1
471.474277,170.703804,-45.781449,0
643.27841,177.310239,-38.078972,0
7260.622087,176.255891,-39.669321,1
417.154485,-176.352583,-43.799643,0
2132.356864,170.578812,-45.806186,1
3438.489096,171.40168,-42.62704,1
1016.771432,172.616985,-41.690615,0
1546.008173,169.794086,-44.363869,1
3456.269258,174.475884,-35.861832,0
8290.61593,174.914164,-36.782432,1
3070.054227,174.990159,-36.777342,0
7343.304934,177.160335,-38.783183,1
414.713412,175.875008,-38.934073,0
2244.825728,175.154322,-37.609306,0
6927.602538,177.700047,-38.468699,1
9720.53566,169.340352,-44.945739,1
2717.697436,173.850628,-34.994486,0
34817.02606,169.513451,-44.358808,2
2444.081838,168.720757,-45.319567,0
78581.5092,176.207756,-39.031802,2
1735.127961,167.387268,-45.991931,0
17462.07339,176.025746,-39.990731,2
2458.612226,175.540827,-37.026124,1
5799.115878,176.008781,-40.05338,1
2415.457998,175.243478,-38.534205,0
10853.43685,172.692975,-41.129359,1
512.828967,167.823678,-45.200974,0
151.515708,174.86266,-38.255394,0
5469.349914,174.930317,-41.348952,0
3001.665476,176.497785,-38.03409,0
15365.14878,168.66593,-44.463917,1
1929.69533,175.799053,-36.833353,0
5998.892634,175.958477,-37.781054,1
1742.938067,176.189416,-38.124013,1
2306.367613,169.624462,-44.378172,0
16301.71772,168.665947,-44.464451,1
1816.320526,176.829948,-39.548584,0
4897.245761,168.566842,-45.004504,1
253.340026,170.699755,-45.874304,0
40119.91518,175.263644,-40.974617,2
8639.90388,176.697858,-38.697279,1
878.072282,175.061885,-37.293299,0
2068.743095,173.53142,-35.613681,1
4112.017564,170.064188,-44.12643,1
10076.01077,171.134158,-42.842884,1
1331.310221,175.724228,-37.427025,0
751.294505,171.30187,-43.626941,0
2082.121385,174.823378,-37.825896,0
1151.120832,167.170034,-45.478922,1
11635.69132,173.703324,-35.235466,1
348.833726,174.111633,-35.284448,0
12345.70847,175.42479,-36.215681,1
1093.34753,175.715037,-36.833084,0
1243.332956,170.356162,-44.64319,0
4305.382387,176.212247,-38.765627,0
8068.935535,173.596344,-35.794549,0
19733.6682,176.057282,-39.926985,2
1500.968132,169.437736,-46.579576,0
27674.29598,172.78462,-43.71553,2
3597.770111,171.526574,-42.401569,1
1334.950782,174.083392,-35.289015,0
7337.96206,168.057576,-45.040664,1
1669.669622,173.442189,-35.530217,1
22265.33349,175.381654,-37.382692,1
5618.762537,175.356552,-36.477376,1
2456.580522,176.020756,-40.113454,1
385.910448,167.381015,-45.747309,0
6119.335294,170.464692,-43.244978,2
9112.758816,170.053052,-44.551721,1
665.076063,173.749879,-35.048392,0
1967.638846,174.936556,-41.343213,1
276.577581,173.830112,-42.244223,0
